title,salePrice,normalPrice,savings,metacriticScore,steamRatingText,dealRating,releaseDate
PUMP IT UP RISE,29.69,44.99,34.0,0,Very Positive,10.0,2026-03-29
Super Meat Boy,1.19,14.99,92.1,87,Very Positive,10.0,2010-11-30
Tomba! Special Edition,4.99,19.99,75.0,80,Very Positive,9.5,2025-08-01
Goetia,1.49,14.99,90.1,79,Mostly Positive,9.4,2016-04-14
The Textorcist: The Story of Ray Bibbia,1.49,14.99,90.1,78,Very Positive,9.3,2019-02-14
Old World,3.99,39.99,90.0,80,Very Positive,9.2,2021-07-01
Chariot,1.49,14.99,90.1,76,Very Positive,9.1,2014-11-12
Hell Pie,3.49,24.99,86.0,78,Very Positive,8.9,2022-07-21
Electrician Simulator,0.89,17.99,95.1,60,Mostly Positive,8.9,2022-09-21
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,2.99,14.99,80.1,84,Very Positive,8.7,2013-09-26
Dry Drowning,1.99,19.99,90.0,68,Very Positive,8.7,2019-08-02
Owlboy,4.99,19.99,75.0,88,Very Positive,8.6,2016-11-01
Bakery Simulator,0.79,15.99,95.1,49,Mixed,8.6,2022-05-03
Portal Knights,2.99,19.99,85.0,72,Very Positive,8.6,2017-05-18
Yesterday Origins,2.24,14.99,85.1,74,Very Positive,8.6,2016-11-10
Rebel Galaxy,1.99,19.99,90.0,75,Very Positive,8.6,2015-10-20
Robin Hood: The Legend of Sherwood,1.59,7.99,80.1,80,Mixed,8.5,2002-11-14
Summer Catchers,0.89,8.99,90.1,61,Very Positive,8.5,2019-07-16
Everything,2.69,14.99,82.1,78,Very Positive,8.5,2017-04-21
The Descendant,1.49,14.99,90.1,61,Mostly Positive,8.5,2016-03-24
